facultad	programa 	Tipo	sede	periodo	Beca	mtriculados	desertores
Artes	Artes_Visuales	Profesional	Principales	2014-1	NoPP	164	39
Artes	Artes_Visuales	Profesional	Principales	2014-1	PP	84	9
Artes	Artes_Visuales	Profesional	Principales	2014-2	NoPP	194	28
Artes	Artes_Visuales	Profesional	Principales	2014-2	PP	83	11
Artes	Artes_Visuales	Profesional	Principales	2015-1	NoPP	201	19
Artes	Artes_Visuales	Profesional	Principales	2015-1	PP	90	7
Artes	Artes_Visuales	Profesional	Principales	2015-2	NoPP	207	32
Artes	Artes_Visuales	Profesional	Principales	2015-2	PP	99	11
Artes	Artes_Visuales	Profesional	Principales	2016-1	NoPP	236	39
Artes	Artes_Visuales	Profesional	Principales	2016-1	PP	92	10
Artes	Artes_Visuales	Profesional	Principales	2016-2	NoPP	238	24
Artes	Artes_Visuales	Profesional	Principales	2016-2	PP	105	9
Artes	Artes_Visuales	Profesional	Principales	2017-1	NoPP	269	37
Artes	Artes_Visuales	Profesional	Principales	2017-1	PP	107	13
Artes	Informática_musical	Tecnologia	Principales	2014-1	NoPP	304	89
Artes	Informática_musical	Tecnologia	Principales	2014-1	PP	68	19
Artes	Informática_musical	Tecnologia	Principales	2014-2	NoPP	305	59
Artes	Informática_musical	Tecnologia	Principales	2014-2	PP	45	7
Artes	Informática_musical	Tecnologia	Principales	2015-1	NoPP	311	45
Artes	Informática_musical	Tecnologia	Principales	2015-1	PP	47	7
Artes	Informática_musical	Tecnologia	Principales	2015-2	NoPP	276	31
Artes	Informática_musical	Tecnologia	Principales	2015-2	PP	58	14
Artes	Informática_musical	Tecnologia	Principales	2016-1	NoPP	268	53
Artes	Informática_musical	Tecnologia	Principales	2016-1	PP	58	9
Artes	Informática_musical	Tecnologia	Principales	2016-2	NoPP	259	42
Artes	Informática_musical	Tecnologia	Principales	2016-2	PP	63	8
Artes	Informática_musical	Tecnologia	Principales	2017-1	NoPP	302	64
Artes	Informática_musical	Tecnologia	Principales	2017-1	PP	53	12
Artes	Ing_diseño	Profesional	Principales	2014-1	NoPP	161	13
Artes	Ing_diseño	Profesional	Principales	2014-1	PP	44	0
Artes	Ing_diseño	Profesional	Principales	2014-2	NoPP	176	11
Artes	Ing_diseño	Profesional	Principales	2014-2	PP	41	2
Artes	Ing_diseño	Profesional	Principales	2015-1	NoPP	192	4
Artes	Ing_diseño	Profesional	Principales	2015-1	PP	35	2
Artes	Ing_diseño	Profesional	Principales	2015-2	NoPP	241	32
Artes	Ing_diseño	Profesional	Principales	2015-2	PP	57	8
Artes	Ing_diseño	Profesional	Principales	2016-1	NoPP	307	54
Artes	Ing_diseño	Profesional	Principales	2016-1	PP	64	15
Artes	Ing_diseño	Profesional	Principales	2016-2	NoPP	361	50
Artes	Ing_diseño	Profesional	Principales	2016-2	PP	80	14
Artes	Ing_diseño	Profesional	Principales	2017-1	NoPP	455	52
Artes	Ing_diseño	Profesional	Principales	2017-1	PP	103	24
Artes	Artes_grabación	Profesional	Principales	2016-1	NoPP	73	13
Artes	Artes_grabación	Profesional	Principales	2016-1	PP	6	1
Artes	Artes_grabación	Profesional	Principales	2016-2	NoPP	89	15
Artes	Artes_grabación	Profesional	Principales	2016-2	PP	12	1
Artes	Artes_grabación	Profesional	Principales	2017-1	NoPP	115	19
Artes	Artes_grabación	Profesional	Principales	2017-1	PP	22	3
Artes	Diseño	Tecnologia	Principales	2014-1	NoPP	923	212
Artes	Diseño	Tecnologia	Principales	2014-1	PP	234	34
Artes	Diseño	Tecnologia	Principales	2014-2	NoPP	923	172
Artes	Diseño	Tecnologia	Principales	2014-2	PP	188	29
Artes	Diseño	Tecnologia	Principales	2015-1	NoPP	859	114
Artes	Diseño	Tecnologia	Principales	2015-1	PP	177	21
Artes	Diseño	Tecnologia	Principales	2015-2	NoPP	804	114
Artes	Diseño	Tecnologia	Principales	2015-2	PP	158	16
Artes	Diseño	Tecnologia	Principales	2016-1	NoPP	748	152
Artes	Diseño	Tecnologia	Principales	2016-1	PP	143	19
Artes	Diseño	Tecnologia	Principales	2016-2	NoPP	676	131
Artes	Diseño	Tecnologia	Principales	2016-2	PP	122	15
Artes	Diseño	Tecnologia	Principales	2017-1	NoPP	635	130
Artes	Diseño	Tecnologia	Principales	2017-1	PP	104	21
Económicas	Contaduría	Profesional	Principales	2017-1	NoPP	95	15
Económicas	Contaduría	Profesional	Principales	2017-1	PP	54	7
Económicas	Administración_tecnológica	Profesional	Principales	2014-1	NoPP	629	75
Económicas	Administración_tecnológica	Profesional	Principales	2014-1	PP	210	20
Económicas	Administración_tecnológica	Profesional	Principales	2014-2	NoPP	759	79
Económicas	Administración_tecnológica	Profesional	Principales	2014-2	PP	191	10
Económicas	Administración_tecnológica	Profesional	Principales	2015-1	NoPP	853	80
Económicas	Administración_tecnológica	Profesional	Principales	2015-1	PP	195	19
Económicas	Administración_tecnológica	Profesional	Principales	2015-2	NoPP	877	140
Económicas	Administración_tecnológica	Profesional	Principales	2015-2	PP	224	25
Económicas	Administración_tecnológica	Profesional	Principales	2016-1	NoPP	996	83
Económicas	Administración_tecnológica	Profesional	Principales	2016-1	PP	214	26
Económicas	Administración_tecnológica	Profesional	Principales	2016-2	NoPP	1033	93
Económicas	Administración_tecnológica	Profesional	Principales	2016-2	PP	214	25
Económicas	Administración_tecnológica	Profesional	Principales	2017-1	NoPP	1108	79
Económicas	Administración_tecnológica	Profesional	Principales	2017-1	PP	209	28
Económicas	Ing_producción	Profesional	Principales	2014-1	NoPP	510	27
Económicas	Ing_producción	Profesional	Principales	2014-1	PP	84	1
